timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
637178,-0.1366,-0.1398,1.0345,-3.7852,-0.9746,-0.3125,other
637201,-0.1376,-0.1398,1.0365,-3.7871,-0.9766,-0.3125,other
637224,-0.1373,-0.1387,1.0349,-3.791,-0.9941,-0.3105,other
637247,-0.1387,-0.1395,1.0371,-3.791,-1.0117,-0.3086,other
637270,-0.1385,-0.1392,1.0342,-3.791,-1.043,-0.2988,other
637293,-0.1373,-0.1383,1.0331,-3.791,-1.0664,-0.2871,other
637316,-0.1366,-0.1394,1.0348,-3.791,-1.082,-0.2793,other
637339,-0.1378,-0.1401,1.0349,-3.791,-1.1055,-0.2676,other
637362,-0.1372,-0.1396,1.0358,-3.793,-1.123,-0.2617,other
637385,-0.1362,-0.1404,1.0348,-3.7949,-1.1465,-0.2578,other
637408,-0.1376,-0.1388,1.0348,-3.8008,-1.1641,-0.2598,other
637431,-0.1379,-0.14,1.035,-3.8047,-1.1699,-0.2637,other
637454,-0.1378,-0.1401,1.0365,-3.8086,-1.1719,-0.2715,other
637477,-0.1372,-0.14,1.0348,-3.8086,-1.1719,-0.2793,other
637500,-0.1356,-0.1365,1.0349,-3.8105,-1.1699,-0.2871,other
637523,-0.1384,-0.1382,1.0332,-3.8086,-1.1641,-0.293,other
637546,-0.1383,-0.1399,1.0356,-3.8086,-1.1543,-0.2949,other
637569,-0.1372,-0.1404,1.0383,-3.8066,-1.127,-0.2969,other
637592,-0.1364,-0.14,1.036,-3.8047,-1.1074,-0.2969,other
637615,-0.1376,-0.1389,1.0353,-3.8027,-1.0859,-0.2949,other
637638,-0.1368,-0.1364,1.0333,-3.7988,-1.0781,-0.293,other
637661,-0.1373,-0.1387,1.0355,-3.791,-1.0625,-0.291,other
637684,-0.1367,-0.1403,1.0337,-3.7812,-1.0352,-0.291,other
637707,-0.1373,-0.1416,1.0364,-3.7754,-1.0098,-0.291,other
637730,-0.1378,-0.1398,1.0363,-3.7715,-0.9648,-0.293,other
637753,-0.1373,-0.1381,1.0342,-3.7695,-0.9375,-0.2949,other
637776,-0.1371,-0.1373,1.0326,-3.7695,-0.9141,-0.293,other
637799,-0.1381,-0.1385,1.0356,-3.7715,-0.9121,-0.2891,other
637822,-0.1388,-0.1412,1.0363,-3.7715,-0.918,-0.2852,other
637845,-0.1371,-0.141,1.0361,-3.7754,-0.9277,-0.2773,other
637868,-0.137,-0.1398,1.0352,-3.7793,-0.9395,-0.2734,other
637891,-0.1351,-0.1383,1.0339,-3.7832,-0.9688,-0.2695,other
637914,-0.1376,-0.1393,1.0343,-3.7871,-1.0176,-0.2656,other
637937,-0.1392,-0.1393,1.0336,-3.7891,-1.0547,-0.2637,other
637960,-0.1385,-0.1401,1.0345,-3.7871,-1.1055,-0.2617,other
637983,-0.1379,-0.1404,1.0347,-3.7852,-1.1328,-0.2617,other
638006,-0.1365,-0.1401,1.0341,-3.7832,-1.1719,-0.2676,other
638029,-0.134,-0.1378,1.0341,-3.7812,-1.2051,-0.2754,other
638052,-0.1361,-0.1376,1.0349,-3.7852,-1.2676,-0.2871,other
638075,-0.1372,-0.1385,1.0337,-3.791,-1.3359,-0.2988,other
638098,-0.1373,-0.1393,1.0361,-3.7969,-1.3691,-0.3047,other
638121,-0.1368,-0.1409,1.0349,-3.8066,-1.3887,-0.3105,other
638144,-0.1371,-0.1406,1.0353,-3.8105,-1.3828,-0.3125,other
638167,-0.1343,-0.139,1.0336,-3.8145,-1.3555,-0.3125,other
638190,-0.1355,-0.1381,1.033,-3.8145,-1.3086,-0.3125,other
638213,-0.1372,-0.1394,1.0347,-3.8105,-1.2734,-0.3105,other
638236,-0.1376,-0.1396,1.0358,-3.8027,-1.2109,-0.3047,other
638259,-0.136,-0.1404,1.036,-3.7949,-1.166,-0.2988,other
638282,-0.1354,-0.14,1.0344,-3.7812,-1.1035,-0.293,other
638305,-0.136,-0.1392,1.0347,-3.7695,-1.0586,-0.291,other
638328,-0.1367,-0.1375,1.0354,-3.7637,-1.041,-0.291,other
638351,-0.1377,-0.1398,1.036,-3.7578,-1.0234,-0.2949,other
638374,-0.1371,-0.1414,1.0345,-3.7578,-1.0117,-0.2949,other
638397,-0.1366,-0.1406,1.0364,-3.7578,-0.998,-0.2969,other
638420,-0.1351,-0.1396,1.035,-3.7578,-0.9941,-0.2949,other
638443,-0.1371,-0.1385,1.0354,-3.7598,-0.9941,-0.291,other
638466,-0.1373,-0.139,1.0367,-3.7637,-0.998,-0.2852,other
638489,-0.1371,-0.1417,1.0354,-3.7656,-0.998,-0.2773,other
638512,-0.1367,-0.1404,1.0364,-3.7715,-0.9922,-0.2676,other
638535,-0.1364,-0.1394,1.0343,-3.7754,-0.9883,-0.2617,other
638558,-0.1361,-0.1372,1.0349,-3.7812,-0.9883,-0.252,other
