timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ,label
1159,-0.1582,-0.2213,0.9928,-7.2461,-7.2266,-7.1836,other
1182,-0.0977,-0.1617,1.0513,-14.0684,-14.0527,-13.8594,other
1205,-0.1167,-0.1779,1.0366,-18.3906,-18.3789,-18.0273,other
1228,-0.11,-0.1735,1.0372,-23.0918,-23.0215,-22.4004,other
1251,-0.1116,-0.1742,1.0393,-24.5645,-24.498,-23.625,other
1274,-0.1106,-0.1748,1.037,-24.125,-23.6563,-22.6445,other
1297,-0.1118,-0.1738,1.0376,-21.0215,-20.1465,-18.9941,other
1320,-0.1122,-0.1742,1.0387,-17.9707,-16.7832,-15.5859,other
1343,-0.1118,-0.1742,1.036,-12.7871,-11.125,-9.9219,other
1366,-0.1117,-0.1744,1.0369,-9.3926,-7.4355,-6.2598,other
1389,-0.1122,-0.1743,1.0367,-5.0078,-2.6797,-1.5801,other
1412,-0.11,-0.1738,1.0388,-1.9043,0.6816,1.6973,other
1435,-0.115,-0.174,1.0389,-0.6309,2.0547,3.0234,other
1458,-0.1106,-0.1742,1.0382,0.1777,2.916,3.834,other
1481,-0.1138,-0.1744,1.0385,0.1094,2.834,3.7305,other
1504,-0.1138,-0.1732,1.0372,-0.6152,2.0488,2.9277,other
1527,-0.1119,-0.1741,1.0369,-1.7266,0.8555,1.7285,other
1550,-0.11,-0.1741,1.0386,-2.5078,0.0176,0.8984,other
1573,-0.1125,-0.1736,1.0382,-3.541,-1.1035,-0.1914,other
1596,-0.1119,-0.1746,1.0377,-4.0664,-1.6895,-0.7383,other
1619,-0.1116,-0.174,1.0374,-4.5625,-2.2773,-1.2461,other
1642,-0.1125,-0.1741,1.0371,-4.7246,-2.5234,-1.3984,other
1665,-0.1125,-0.1742,1.0377,-4.6855,-2.5195,-1.3418,other
1688,-0.125,-0.1735,1.0394,-4.4785,-2.3203,-1.1016,other
1711,-0.105,-0.1755,1.0371,-4.291,-2.1133,-0.8867,other
1734,-0.1038,-0.174,1.0377,-4.002,-1.8203,-0.5566,other
1757,-0.0992,-0.1741,1.0381,-3.834,-1.7266,-0.3633,other
1780,-0.106,-0.1746,1.0372,-3.6543,-1.8359,-0.1504,other
1803,-0.1118,-0.1749,1.0391,-3.5645,-2.1484,-0.043,other
1826,-0.1084,-0.1749,1.0382,-3.5527,-2.3613,-0.0254,other
1849,-0.1129,-0.1743,1.038,-3.5859,-2.543,-0.0586,other
1872,-0.1113,-0.1749,1.0374,-3.6309,-2.5156,-0.1074,other
1895,-0.1124,-0.1746,1.0391,-3.709,-2.2266,-0.1973,other
1918,-0.1134,-0.1752,1.0374,-3.7793,-1.6934,-0.2773,other
1941,-0.1136,-0.1755,1.0392,-3.8125,-1.2656,-0.3164,other
1964,-0.1156,-0.1752,1.0389,-3.8418,-0.625,-0.3477,other
1987,-0.1118,-0.1743,1.0383,-3.8457,-0.2676,-0.3535,other
2010,-0.1116,-0.1744,1.0381,-3.8281,0.0762,-0.3398,other
2033,-0.1132,-0.1755,1.0369,-3.7891,0.1543,-0.3145,other
2056,-0.113,-0.1738,1.0361,-3.7578,0.0801,-0.2949,other
2079,-0.1248,-0.1747,1.0381,-3.709,-0.1504,-0.2715,other
2102,-0.1075,-0.175,1.0372,-3.6797,-0.3555,-0.2617,other
2125,-0.1222,-0.174,1.0388,-3.6426,-0.7656,-0.2559,other
2148,-0.097,-0.1753,1.0382,-3.623,-1.1504,-0.2617,other
2171,-0.1174,-0.175,1.0417,-3.6074,-1.9707,-0.2734,other
2194,-0.0825,-0.1761,1.0352,-3.6191,-3.125,-0.3008,other
2217,-0.0967,-0.1755,1.0394,-3.6445,-4.1055,-0.3242,other
2240,-0.1157,-0.173,1.043,-3.6855,-5.8203,-0.3594,other
2263,-0.0398,-0.1774,1.0386,-3.7031,-7.0566,-0.377,other
2286,-0.0615,-0.1724,1.0393,-3.707,-9.0723,-0.3926,other
2309,-0.0802,-0.1742,1.0411,-3.6797,-11.1035,-0.3984,other
2332,-0.0527,-0.1742,1.0402,-3.6387,-12.1816,-0.3926,other
2355,-0.0773,-0.1746,1.043,-3.5527,-12.9668,-0.373,other
2378,-0.0804,-0.1725,1.0386,-3.4785,-12.7441,-0.3516,other
2401,-0.0991,-0.174,1.0428,-3.3496,-11.1172,-0.3027,other
2424,-0.0967,-0.1719,1.0419,-3.2129,-8.0977,-0.2422,other
2447,-0.079,-0.1743,1.0398,-3.1309,-5.6328,-0.2012,other
2470,-0.0759,-0.1737,1.0389,-3.0488,-1.9961,-0.1523,other
2493,-0.0867,-0.1742,1.0421,-3.0312,0.002,-0.1328,other
2516,-0.0638,-0.1731,1.0364,-3.0605,1.957,-0.127,other
2539,-0.0853,-0.1732,1.042,-3.1133,2.5312,-0.1523,other
2562,-0.0796,-0.1729,1.0408,-3.2246,2.25,-0.1777,other
2585,-0.0773,-0.1741,1.0421,-3.3555,1.1406,-0.2285,other
2608,-0.0695,-0.1736,1.0386,-3.4414,0.123,-0.2617,other
2631,-0.0731,-0.174,1.0411,-3.5527,-1.5508,-0.3086,other
2654,-0.0759,-0.173,1.04,-3.6113,-2.623,-0.3359,other
2677,-0.0692,-0.1716,1.0397,-3.666,-3.998,-0.3691,other
2700,-0.0574,-0.1703,1.0399,-3.6836,-5.0,-0.3887,other
2723,-0.0657,-0.1727,1.0413,-3.6797,-5.459,-0.3945,other
2746,-0.0686,-0.174,1.0416,-3.6699,-5.834,-0.4023,other
2769,-0.0707,-0.1759,1.0416,-3.666,-5.8691,-0.4062,other
2792,-0.0935,-0.1783,1.0447,-3.666,-5.6055,-0.4102,other
2815,-0.0681,-0.1775,1.0436,-3.6758,-5.0391,-0.416,other
2838,-0.068,-0.1764,1.0436,-3.6855,-4.5488,-0.4199,other
2861,-0.0643,-0.1764,1.0406,-3.6914,-3.7344,-0.4199,other
2884,-0.0574,-0.1719,1.038,-3.6875,-3.1914,-0.416,other
2907,-0.0776,-0.1714,1.0417,-3.6602,-2.4473,-0.4043,other
2930,-0.071,-0.1727,1.0422,-3.6094,-1.8008,-0.3867,other
2953,-0.0656,-0.1744,1.0416,-3.5664,-1.4355,-0.373,other
2976,-0.0692,-0.1761,1.0414,-3.498,-1.0176,-0.3516,other
2999,-0.0681,-0.177,1.0421,-3.457,-0.8516,-0.3359,other
3022,-0.0651,-0.1735,1.0406,-3.4082,-0.7734,-0.3145,other
3045,-0.0646,-0.171,1.0394,-3.3828,-0.8223,-0.3027,other
3068,-0.0647,-0.1714,1.0403,-3.3594,-1.0098,-0.2871,other
3091,-0.0629,-0.1714,1.038,-3.3496,-1.2754,-0.2754,other
3114,-0.0698,-0.1743,1.0411,-3.3516,-1.4648,-0.2715,other
3137,-0.0663,-0.1758,1.0438,-3.3691,-1.7285,-0.2676,other
3160,-0.0636,-0.1772,1.0424,-3.3945,-1.877,-0.2695,other
3183,-0.0656,-0.1744,1.04,-3.4453,-2.0586,-0.2773,other
3206,-0.0656,-0.1741,1.0416,-3.5039,-2.1797,-0.2871,other
3229,-0.0612,-0.1729,1.0425,-3.5371,-2.2227,-0.293,other
3252,-0.0623,-0.174,1.0427,-3.5664,-2.2246,-0.3008,other
3275,-0.0645,-0.174,1.0382,-3.5684,-2.1953,-0.3027,other
3298,-0.0642,-0.1758,1.0408,-3.543,-2.1172,-0.3027,other
3321,-0.0643,-0.1744,1.04,-3.4902,-2.0098,-0.2988,other
3344,-0.064,-0.1738,1.0417,-3.4434,-1.9238,-0.293,other
3367,-0.0618,-0.1741,1.045,-3.3613,-1.7832,-0.2832,other
3390,-0.0638,-0.1775,1.0426,-3.3047,-1.6895,-0.2754,other
3413,-0.0657,-0.1735,1.032,-3.2168,-1.5566,-0.2656,other
3436,-0.0691,-0.1731,1.0419,-3.1562,-1.4707,-0.2617,other
3459,-0.0602,-0.1718,1.0415,-3.0625,-1.3535,-0.2598,other
3482,-0.0634,-0.168,1.0365,-2.9746,-1.2578,-0.2617,other
3505,-0.0686,-0.174,1.0442,-2.9277,-1.2227,-0.2637,other
3528,-0.0591,-0.1736,1.0425,-2.8789,-1.2227,-0.2695,other
3551,-0.0677,-0.1747,1.0389,-2.8672,-1.2559,-0.2715,other
3574,-0.0658,-0.1686,1.0399,-2.877,-1.3457,-0.2734,other
3597,-0.0598,-0.1738,1.0419,-2.9082,-1.4512,-0.2754,other
3620,-0.0623,-0.1692,1.0393,-2.9336,-1.5117,-0.2773,other
3643,-0.0688,-0.1682,1.0365,-2.9766,-1.5762,-0.2793,other
3666,-0.0591,-0.1704,1.0427,-3.0039,-1.5977,-0.2812,other
3689,-0.0579,-0.1705,1.0413,-3.0469,-1.6074,-0.2852,other
3712,-0.0669,-0.1692,1.038,-3.0937,-1.6113,-0.2891,other
3735,-0.0651,-0.1731,1.0435,-3.1289,-1.6172,-0.291,other
3758,-0.0571,-0.1725,1.042,-3.1855,-1.6328,-0.2949,other
3781,-0.0658,-0.1722,1.0408,-3.2246,-1.6484,-0.2988,other
3804,-0.0679,-0.1699,1.0403,-3.2812,-1.6777,-0.3047,other
3827,-0.0593,-0.1741,1.0437,-3.3145,-1.709,-0.3105,other
3850,-0.0603,-0.17,1.0414,-3.3574,-1.7324,-0.3145,other
3873,-0.0662,-0.1686,1.0383,-3.3848,-1.7715,-0.3184,other
3896,-0.0614,-0.1727,1.0414,-3.3906,-1.7949,-0.3184,other
3919,-0.0619,-0.1733,1.0424,-3.3887,-1.8105,-0.3223,other
3942,-0.0662,-0.1713,1.0386,-3.3809,-1.8027,-0.3223,other
3965,-0.0629,-0.1702,1.0391,-3.3613,-1.7598,-0.3223,other
3988,-0.0585,-0.1702,1.0405,-3.3398,-1.6914,-0.3203,other
4011,-0.0625,-0.1676,1.0381,-3.3262,-1.6406,-0.3164,other
4034,-0.0627,-0.1691,1.0383,-3.3066,-1.5723,-0.3066,other
4057,-0.0608,-0.1725,1.0415,-3.2988,-1.5371,-0.3008,other
4080,-0.0641,-0.1716,1.0422,-3.2988,-1.5059,-0.291,other
4103,-0.0656,-0.1708,1.0402,-3.3105,-1.4941,-0.2832,other
4126,-0.0602,-0.1696,1.0413,-3.3281,-1.4941,-0.2793,other
4149,-0.0601,-0.17,1.0396,-3.3613,-1.5156,-0.2773,other
4172,-0.0612,-0.1689,1.04,-3.3848,-1.5449,-0.2773,other
4195,-0.0619,-0.1724,1.0406,-3.418,-1.6152,-0.2812,other
4218,-0.0597,-0.172,1.0425,-3.4473,-1.7031,-0.2832,other
4241,-0.0638,-0.1711,1.0403,-3.4609,-1.7617,-0.2852,other
4264,-0.0592,-0.1688,1.0389,-3.4766,-1.8379,-0.2832,other
4287,-0.059,-0.1707,1.0411,-3.4824,-1.877,-0.2812,other
4310,-0.0605,-0.1705,1.0406,-3.4863,-1.9141,-0.2754,other
4333,-0.0601,-0.1726,1.04,-3.4863,-1.9258,-0.2715,other
4356,-0.0596,-0.1713,1.0421,-3.4863,-1.9219,-0.2676,other
4379,-0.0626,-0.1708,1.0403,-3.4844,-1.8906,-0.2656,other
4402,-0.0592,-0.1687,1.0413,-3.4844,-1.8535,-0.2656,other
4425,-0.058,-0.1707,1.0402,-3.4805,-1.7793,-0.2656,other
4448,-0.0598,-0.1703,1.0375,-3.4766,-1.7246,-0.2676,other
4471,-0.0621,-0.1714,1.0406,-3.4727,-1.6406,-0.2715,other
4494,-0.0596,-0.172,1.0399,-3.4687,-1.5527,-0.2793,other
4517,-0.0612,-0.1715,1.0411,-3.4668,-1.4941,-0.2832,other
4540,-0.0603,-0.1698,1.0402,-3.4707,-1.4082,-0.291,other
4563,-0.0598,-0.1705,1.0403,-3.4746,-1.3555,-0.293,other
4586,-0.0601,-0.1705,1.042,-3.4824,-1.2891,-0.291,other
4609,-0.0612,-0.1707,1.0386,-3.4883,-1.2422,-0.2832,other
4632,-0.0603,-0.1724,1.0406,-3.4922,-1.2227,-0.2754,other
4655,-0.0607,-0.1714,1.0408,-3.4961,-1.2129,-0.2637,other
4678,-0.0614,-0.1705,1.0394,-3.498,-1.2168,-0.2578,other
4701,-0.0598,-0.1702,1.0399,-3.5,-1.2363,-0.2539,other
4724,-0.0592,-0.1703,1.0404,-3.5,-1.2754,-0.2539,other
4747,-0.0613,-0.1708,1.0403,-3.5,-1.3125,-0.2559,other
4770,-0.0603,-0.1709,1.0414,-3.5,-1.373,-0.2617,other
4793,-0.0605,-0.171,1.0389,-3.5,-1.4102,-0.2676,other
4816,-0.0616,-0.1699,1.0403,-3.5,-1.4512,-0.2754,other
4839,-0.0608,-0.1699,1.0381,-3.498,-1.459,-0.2812,other
4862,-0.0613,-0.17,1.0392,-3.4922,-1.4395,-0.2871,other
4885,-0.0618,-0.1705,1.0408,-3.4844,-1.3887,-0.291,other
4908,-0.0624,-0.1711,1.0399,-3.4785,-1.3438,-0.291,other
4931,-0.0614,-0.1704,1.0398,-3.4687,-1.2773,-0.291,other
4954,-0.0621,-0.1708,1.0387,-3.4629,-1.2402,-0.2871,other
4977,-0.0608,-0.1696,1.0402,-3.4551,-1.2051,-0.2832,other
5000,-0.0616,-0.1699,1.0396,-3.4492,-1.2012,-0.2773,other
5023,-0.0616,-0.17,1.0404,-3.4473,-1.2148,-0.2754,other
5046,-0.0613,-0.171,1.0403,-3.4473,-1.248,-0.2734,other
5069,-0.0609,-0.1708,1.0403,-3.4512,-1.2773,-0.2754,other
5092,-0.0614,-0.1708,1.0405,-3.457,-1.3223,-0.2773,other
5115,-0.0616,-0.1702,1.04,-3.4609,-1.3535,-0.2793,other
5138,-0.0627,-0.17,1.0416,-3.4648,-1.3574,-0.2812,other
5161,-0.0616,-0.1703,1.0399,-3.4648,-1.3359,-0.2832,other
5184,-0.0615,-0.17,1.0416,-3.4629,-1.3008,-0.2852,other
5207,-0.0627,-0.17,1.0392,-3.4629,-1.2344,-0.291,other
5230,-0.062,-0.1692,1.0415,-3.4609,-1.1855,-0.2949,other
5253,-0.0621,-0.1699,1.0403,-3.4629,-1.1191,-0.3027,other
5276,-0.0621,-0.1702,1.0403,-3.4687,-1.0723,-0.3105,other
5299,-0.0621,-0.171,1.0404,-3.4727,-1.0566,-0.3145,other
5322,-0.0625,-0.1702,1.0415,-3.4785,-1.0566,-0.3184,other
5345,-0.0623,-0.1707,1.0403,-3.4844,-1.0723,-0.3164,other
5368,-0.0627,-0.1698,1.0408,-3.4922,-1.1094,-0.3125,other
5391,-0.0629,-0.171,1.0409,-3.4961,-1.1563,-0.3047,other
5414,-0.0631,-0.1697,1.0396,-3.498,-1.1895,-0.2988,other
5437,-0.0631,-0.1705,1.0406,-3.498,-1.2324,-0.291,other
5460,-0.0653,-0.1708,1.0428,-3.4941,-1.252,-0.2871,other
5483,-0.0614,-0.1703,1.0399,-3.4883,-1.2656,-0.2812,other
5506,-0.0638,-0.1696,1.0387,-3.4805,-1.2656,-0.2812,other
5529,-0.0638,-0.1699,1.04,-3.4766,-1.2637,-0.2852,other
5552,-0.0632,-0.1698,1.0397,-3.4707,-1.2656,-0.2891,other
5575,-0.0629,-0.17,1.0374,-3.4687,-1.2734,-0.293,other
5598,-0.0635,-0.1708,1.0397,-3.4668,-1.2988,-0.2969,other
5621,-0.0615,-0.1707,1.04,-3.4648,-1.3203,-0.2969,other
5644,-0.0637,-0.1703,1.0392,-3.4609,-1.3496,-0.2969,other
5667,-0.0635,-0.1698,1.0402,-3.4531,-1.3633,-0.2949,other
5690,-0.0627,-0.17,1.0394,-3.4492,-1.3594,-0.293,other
5713,-0.064,-0.17,1.041,-3.4395,-1.3359,-0.291,other
5736,-0.0625,-0.1704,1.0386,-3.4336,-1.3125,-0.2891,other
5759,-0.063,-0.1707,1.0405,-3.4277,-1.2773,-0.2871,other
5782,-0.0641,-0.17,1.0399,-3.4258,-1.252,-0.2812,other
5805,-0.0638,-0.1699,1.0405,-3.4258,-1.2461,-0.2773,other
5828,-0.0626,-0.1704,1.038,-3.4277,-1.2578,-0.2715,other
5851,-0.0629,-0.17,1.0408,-3.4316,-1.2773,-0.2676,other
5874,-0.0632,-0.17,1.0398,-3.4414,-1.3223,-0.2637,other
5897,-0.0635,-0.1703,1.0397,-3.4512,-1.375,-0.2617,other
5920,-0.0632,-0.1699,1.0413,-3.457,-1.4082,-0.2598,other
5943,-0.0623,-0.1696,1.0396,-3.4668,-1.4531,-0.2598,other
5966,-0.0624,-0.1698,1.0413,-3.4727,-1.4824,-0.2598,other
5989,-0.064,-0.1707,1.0413,-3.4746,-1.5215,-0.2598,other
6012,-0.063,-0.1704,1.0404,-3.4746,-1.5469,-0.2617,other
6035,-0.0621,-0.17,1.0393,-3.4727,-1.5527,-0.2637,other
6058,-0.0626,-0.1719,1.0404,-3.4707,-1.5449,-0.2676,other
6081,-0.0634,-0.1689,1.0394,-3.4707,-1.5273,-0.2695,other
6104,-0.0625,-0.1703,1.04,-3.4746,-1.4922,-0.2734,other
6127,-0.0627,-0.1697,1.0406,-3.4785,-1.4648,-0.2773,other
6150,-0.0632,-0.1699,1.0406,-3.4863,-1.4336,-0.2812,other
