timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
1727,-0.1699,-0.1798,1.0287,-4.1738,-0.2148,-0.2891
1750,-0.1718,-0.1812,1.0297,-4.1719,-0.4629,-0.2832
1773,-0.1667,-0.1826,1.0261,-4.168,-0.918,-0.291
1796,-0.1754,-0.1825,1.0273,-4.168,-1.2246,-0.3027
1819,-0.1693,-0.181,1.0283,-4.1719,-1.6035,-0.3242
1842,-0.1694,-0.1798,1.0272,-4.1836,-1.8145,-0.3398
1865,-0.1681,-0.1805,1.0275,-4.1914,-1.8555,-0.3457
1888,-0.175,-0.1802,1.027,-4.2051,-1.7656,-0.3477
1911,-0.1698,-0.1809,1.0291,-4.2109,-1.6094,-0.3437
1934,-0.1738,-0.1809,1.0266,-4.2168,-1.2578,-0.3359
1957,-0.1757,-0.1818,1.028,-4.2148,-0.8086,-0.3262
1980,-0.1747,-0.1809,1.026,-4.2109,-0.4844,-0.3203
2003,-0.1736,-0.1809,1.0267,-4.2031,-0.0137,-0.3125
2026,-0.1761,-0.1799,1.0278,-4.1992,0.2598,-0.3086
2049,-0.1772,-0.1818,1.0283,-4.1934,0.5801,-0.3066
2072,-0.1749,-0.182,1.0259,-4.1914,0.7812,-0.3086
2095,-0.1776,-0.1818,1.0265,-4.1914,0.8398,-0.3125
2118,-0.1759,-0.1815,1.0267,-4.1934,0.8145,-0.3184
2141,-0.1753,-0.1805,1.0281,-4.1953,0.7246,-0.3242
2164,-0.178,-0.1808,1.0276,-4.1953,0.502,-0.3281
2187,-0.1763,-0.1807,1.0269,-4.1914,0.3145,-0.332
2210,-0.1783,-0.1808,1.0276,-4.1836,0.0234,-0.334
2233,-0.1815,-0.1816,1.0273,-4.1738,-0.2324,-0.3359
2256,-0.1753,-0.1813,1.0266,-4.1641,-0.3672,-0.3359
2279,-0.1775,-0.1802,1.028,-4.1484,-0.5254,-0.3359
2302,-0.1764,-0.1808,1.0265,-4.1387,-0.6113,-0.3359
2325,-0.1809,-0.1814,1.0286,-4.125,-0.7187,-0.3379
2348,-0.1764,-0.1799,1.0281,-4.1152,-0.7969,-0.3379
2371,-0.1761,-0.1809,1.0287,-4.1133,-0.8418,-0.3359
2394,-0.1807,-0.1821,1.0294,-4.1152,-0.9082,-0.3359
2417,-0.1737,-0.1821,1.0262,-4.1211,-0.9492,-0.3359
2440,-0.1763,-0.1814,1.0271,-4.1348,-1.0059,-0.3379
2463,-0.1807,-0.189,1.0286,-4.1523,-1.0371,-0.3398
2486,-0.1674,-0.1796,1.0245,-4.1641,-1.0332,-0.3437
2509,-0.1926,-0.1776,1.0309,-4.1777,-1.0254,-0.3672
2532,-0.17,-0.1796,1.0267,-4.1816,-1.0547,-0.4082
2555,-0.1743,-0.1831,1.0277,-4.1758,-1.2109,-0.5098
2578,-0.1716,-0.1823,1.0287,-4.168,-1.416,-0.5977
