timestamp_ms,accX,accY,accZ,gyroX,gyroY,gyroZ
2904679,0.0443,-0.1105,1.04,-4.1934,-1.8379,-0.5664
2904702,0.042,-0.1112,1.0405,-4.3398,-2.2441,-0.4043
2904725,0.04,-0.1123,1.0422,-4.4316,-2.502,-0.2812
2904748,0.0427,-0.1136,1.0385,-4.5391,-2.7715,-0.0977
2904771,0.0394,-0.1115,1.0425,-4.5742,-2.8281,0.0059
2904794,0.04,-0.1112,1.0415,-4.5586,-2.6855,0.1094
2904817,0.0394,-0.1099,1.0426,-4.457,-2.2852,0.1367
2904840,0.0396,-0.1115,1.0398,-4.3477,-1.9199,0.1133
2904863,0.0396,-0.113,1.04,-4.1484,-1.3398,0.0234
2904886,0.0403,-0.1129,1.0391,-4.0098,-1.0,-0.0625
2904909,0.0415,-0.1099,1.0406,-3.8184,-0.6719,-0.207
2904932,0.0394,-0.1105,1.0417,-3.6738,-0.6348,-0.3477
2904955,0.0417,-0.1121,1.04,-3.6172,-0.7891,-0.4277
2904978,0.05,-0.1133,1.0375,-3.5996,-1.2871,-0.5215
2905001,0.0532,-0.1116,1.0386,-3.6328,-1.7793,-0.5566
2905024,0.047,-0.1121,1.0402,-3.7324,-2.6387,-0.5723
2905047,0.0442,-0.1113,1.0388,-3.8594,-3.4219,-0.543
2905070,0.045,-0.111,1.0416,-3.9434,-3.791,-0.5059
2905093,0.0447,-0.1118,1.0398,-4.0488,-4.0156,-0.4277
2905116,0.045,-0.1128,1.0386,-4.0977,-3.9414,-0.3633
2905139,0.0414,-0.1119,1.041,-4.1328,-3.543,-0.248
2905162,0.0465,-0.1122,1.0389,-4.1328,-3.1406,-0.1133
2905185,0.0471,-0.1108,1.0435,-4.1055,-2.4531,-0.0137
2905208,0.0421,-0.1118,1.04,-4.0547,-1.7852,0.1387
2905231,0.0441,-0.1117,1.0399,-4.0176,-1.4043,0.2305
2905254,0.0436,-0.1133,1.0393,-3.9687,-1.0176,0.3379
2905277,0.0533,-0.1139,1.0378,-3.9531,-0.9297,0.375
2905300,0.0482,-0.1124,1.04,-3.9629,-1.0801,0.377
2905323,0.0487,-0.1118,1.0405,-4.0117,-1.5156,0.3105
2905346,0.0477,-0.113,1.0391,-4.0547,-1.8906,0.2344
2905369,0.0474,-0.1127,1.0406,-4.1133,-2.4355,0.0918
2905392,0.0459,-0.113,1.0387,-4.1348,-2.709,-0.0078
2905415,0.0468,-0.1124,1.0399,-4.1191,-2.8809,-0.1445
2905438,0.0503,-0.1117,1.0386,-4.0449,-2.7207,-0.252
2905461,0.0438,-0.1108,1.0399,-3.9668,-2.4414,-0.3027
2905484,0.0399,-0.1112,1.0403,-3.8145,-1.8047,-0.3496
2905507,0.0399,-0.1113,1.0391,-3.6934,-1.2617,-0.3672
2905530,0.0394,-0.1118,1.0397,-3.5,-0.3516,-0.3906
2905553,0.0396,-0.1096,1.0391,-3.373,0.7539,-0.4219
2905576,0.0396,-0.1102,1.0386,-3.209,1.0547,-0.4551
2905599,0.0402,-0.1101,1.0417,-3.1094,1.6172,-0.5215
2905622,0.0394,-0.1112,1.0413,-3.0898,1.8262,-0.5742
2905645,0.0396,-0.111,1.0389,-3.1367,1.8867,-0.6484
2905668,0.0396,-0.1116,1.0392,-3.2129,1.7793,-0.6855
2905691,0.0396,-0.1105,1.0408,-3.3691,1.459,-0.7168
2905714,0.0396,-0.1101,1.0403,-3.543,1.0508,-0.709
2905737,0.0396,-0.1112,1.0386,-3.6504,0.7852,-0.6836
2905760,0.0396,-0.11,1.0408,-3.7852,0.4453,-0.6172
2905783,0.0396,-0.1104,1.0409,-3.8535,0.2715,-0.5605
2905806,0.0394,-0.1108,1.0405,-3.9199,0.0957,-0.4668
2905829,0.0396,-0.1101,1.0408,-3.9473,0.0312,-0.377
2905852,0.0396,-0.1099,1.0399,-3.9473,0.041,-0.3262
2905875,0.0396,-0.1102,1.0397,-3.9297,0.0937,-0.2637
2905898,0.0378,-0.1112,1.0399,-3.916,0.1289,-0.2324
2905921,0.0403,-0.1108,1.0399,-3.9023,0.1426,-0.2051
2905944,0.0405,-0.1108,1.0392,-3.9023,0.1094,-0.2109
2905967,0.0394,-0.1107,1.0399,-3.916,-0.0039,-0.2363
2905990,0.0397,-0.1111,1.0402,-3.9492,-0.1914,-0.3145
2906013,0.0394,-0.11,1.0388,-3.9766,-0.3633,-0.3965
2906036,0.0396,-0.1097,1.0398,-4.0195,-0.6992,-0.5547
2906059,0.0396,-0.1101,1.0394,-4.0449,-0.9512,-0.666
2906082,0.0396,-0.1104,1.0405,-4.0742,-1.2969,-0.8027
2906105,0.0396,-0.1107,1.0386,-4.0859,-1.5195,-0.873
2906128,0.0396,-0.11,1.0417,-4.084,-1.5723,-0.873
2906151,0.0394,-0.1097,1.0425,-4.0664,-1.502,-0.8125
2906174,0.0396,-0.1094,1.0425,-4.0508,-1.377,-0.7383
2906197,0.0392,-0.1102,1.0388,-4.0254,-1.1465,-0.6016
2906220,0.0354,-0.1086,1.0424,-4.0137,-1.0234,-0.4609
2906243,0.03,-0.1035,1.0431,-4.0156,-1.0742,-0.3828
2906266,0.0549,0.0018,1.0594,-4.0391,-1.4043,-0.2539
2906289,0.1332,-0.1586,1.021,-4.1055,-1.918,-0.0352
2906312,0.0864,-0.1215,1.0377,-4.3789,-3.5449,0.832
2906335,0.0654,-0.1514,1.0356,-4.6973,-6.3086,2.4668
2906358,0.0573,-0.1388,1.0378,-5.3125,-8.5371,3.8477
2906381,0.0453,-0.1213,1.0498,-5.9414,-11.8262,5.9492
2906404,0.0732,-0.1075,1.0863,-6.2871,-13.6289,7.0879
2906427,0.0309,-0.1017,1.1281,-6.6816,-15.4199,8.0078
2906450,0.1591,-0.1503,1.015,-6.9883,-16.0156,8.0039
2906473,0.1504,-0.1853,1.0209,-8.0156,-16.3711,7.1699
2906496,0.1412,-0.1523,1.0471,-10.291,-16.5586,5.6445
2906519,0.1497,-0.168,1.0338,-12.6113,-16.6777,4.4238
2906542,0.1561,-0.2109,1.077,-17.1172,-16.7598,2.4902
2906565,0.1378,-0.1388,1.0955,-20.5996,-16.6406,1.2285
2906588,0.0524,-0.1587,1.1481,-26.2363,-15.9453,-0.5078
2906611,0.0695,-0.2451,1.1353,-32.3242,-14.3086,-1.959
2906634,0.1305,-0.2861,1.0581,-36.832,-12.7539,-2.7539
2906657,0.1449,-0.2467,1.0081,-44.8574,-10.4141,-3.7988
2906680,0.1273,-0.3771,1.0593,-51.332,-9.3242,-4.5156
2906703,0.1769,-0.3092,1.0021,-62.7266,-8.6113,-5.8086
2906726,0.1847,-0.3816,0.9828,-64.0,-8.457,-7.4355
2906749,0.1648,-0.4774,1.0291,-64.0,-8.1973,-8.5547
2906772,0.1223,-0.4047,0.9987,-64.0,-6.6914,-9.748
2906795,0.1144,-0.5815,0.9729,-64.0,-4.4668,-10.0156
2906818,0.0585,-0.5706,0.9987,-64.0,1.1816,-9.6445
2906841,0.0804,-0.5256,0.9657,-64.0,6.4805,-8.8086
2906864,0.0701,-0.7916,0.963,-64.0,16.0039,-6.1719
2906887,-0.0073,-0.5687,0.9413,-64.0,25.6719,-1.6367
2906910,0.0602,-0.6393,0.8392,-64.0,30.9277,2.209
2906933,0.0035,-0.7271,0.8796,-64.0,35.4004,8.7598
2906956,0.0272,-0.7297,0.8851,-64.0,35.7129,13.3945
2906979,0.0137,-0.6718,0.7196,-64.0,32.4199,20.3008
2907002,0.0541,-0.8185,0.7424,-64.0,25.5762,26.4785
2907025,-0.0249,-0.7921,0.7578,-64.0,19.6582,29.8184
2907048,0.004,-0.8024,0.7224,-64.0,9.6172,33.2168
